#tpm4_we.dat - Based on 'occ_start_states' tab in CREST Domestic Electricity Demand Model 1.0d by Ian Richardson http://homepages.lboro.ac.uk/~eliwr/
Columns tab delimited - Data starts on line 23 of file.

Active Occupancy Model

Transition Probability Matrix

Four resident house
Weekend

Col 0 - Ten minute period number
Col 1 - Active occupant count in time period
Col 2 - Probability of transition to zero active occupants in next time period
Col 3 - Probability of transition to one active occupant in next time period
Col 4 - Probability of transition to two active occupants in next time period
Col 5 - Probability of transition to three active occupants in next time period
Col 6 - Probability of transition to four active occupants in next time period
Col 7 - Probability of transition to five active occupants in next time period
Col 8 - Probability of transition to six active occupants in next time period



15	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
15	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16	0	0.993	0.007	0.000	0.000	0.000	0.000	0.000
16	1	0.250	0.750	0.000	0.000	0.000	0.000	0.000
16	2	0.000	0.333	0.667	0.000	0.000	0.000	0.000
16	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
17	0	0.990	0.010	0.000	0.000	0.000	0.000	0.000
17	1	0.091	0.909	0.000	0.000	0.000	0.000	0.000
17	2	0.000	0.000	1.000	0.000	0.000	0.000	0.000
17	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000
17	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000
17	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
17	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
18	0	0.990	0.010	0.000	0.000	0.000	0.000	0.000
18	1	0.208	0.792	0.000	0.000	0.000	0.000	0.000
18	2	0.000	0.500	0.500	0.000	0.000	0.000	0.000
18	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000
18	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000
18	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
18	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
19	0	0.998	0.002	0.000	0.000	0.000	0.000	0.000
19	1	0.250	0.750	0.000	0.000	0.000	0.000	0.000
19	2	0.000	0.000	1.000	0.000	0.000	0.000	0.000
19	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000
19	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000
19	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
19	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20	0	0.995	0.005	0.000	0.000	0.000	0.000	0.000
20	1	0.263	0.737	0.000	0.000	0.000	0.000	0.000
20	2	0.000	0.000	1.000	0.000	0.000	0.000	0.000
20	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21	0	0.995	0.005	0.000	0.000	0.000	0.000	0.000
21	1	0.063	0.938	0.000	0.000	0.000	0.000	0.000
21	2	0.000	1.000	0.000	0.000	0.000	0.000	0.000
21	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	0	0.995	0.005	0.000	0.000	0.000	0.000	0.000
22	1	0.167	0.833	0.000	0.000	0.000	0.000	0.000
22	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	0	0.991	0.009	0.000	0.000	0.000	0.000	0.000
23	1	0.294	0.706	0.000	0.000	0.000	0.000	0.000
23	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	0	0.979	0.021	0.000	0.000	0.000	0.000	0.000
24	1	0.938	0.063	0.000	0.000	0.000	0.000	0.000
24	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	0	1.000	0.000	0.000	0.000	0.000	0.000	0.000
25	1	0.100	0.900	0.000	0.000	0.000	0.000	0.000
25	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	3	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	4	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	5	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25	6	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26	0	0.993	0.007	0.000	0.000	0.000	0.000	0.000
26	1	0.222	0.667	0.111	0.000	0.000	0.000	0.000
26	2	0.000	0.000	0.000	0.000	0.000	0.000	0.000
